source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Myeloid,Myeloid,CCL5,SDC4,0.2196615,1.0,0.03762796,-0.10510499107782946,-0.6699751940618975,0.006290484,0.6712857,1.0,1.0
Myeloid,Myeloid,CXCL12,ITGA4,0.21638623,0.907,0.03805629,0.06954087296418675,-0.40826686883143204,0.01062999,0.67253333,1.0,1.0
PVL,PVL,CXCL12,CD4,0.27455994,0.0,0.049391754,0.06401988654711002,0.029774167019778697,0.015789857,0.70057213,1.0,1.0
PVL,PVL,CXCL12,ACKR3,0.27813965,0.0,0.05251167,0.30253026285099777,0.2158374482329607,0.07037834,0.7069568,0.2529587379940865,1.0
Myeloid,Myeloid,CXCL12,ITGAV,0.18839508,1.0,0.031184155,-0.04925450045606339,-0.498545936716106,0.0064467066,0.6502384,1.0,1.0
Myeloid,Myeloid,IL15RA,AXL,0.18514085,0.0,0.03167236,0.21470247864643335,0.1587604285085669,0.035210744,0.65200275,0.44545057238153896,1.0
PVL,Plasmablasts,CCL21,CCR10,0.18837954,0.0,0.027112052,0.42380694603155566,0.9769056193364228,0.16640462,0.6341637,0.09597540784822821,1.0
PVL,Plasmablasts,CCL21,CXCR3,0.20563117,0.0,0.03676929,0.3597806726196077,0.9204797642330692,0.107235506,0.6687337,0.12918519580294271,1.0
PVL,Plasmablasts,CCL19,CCR10,0.26058626,0.0,0.041100748,0.4144000421357841,1.5037637108020236,0.13500719,0.68095094,0.09597540784822821,1.0
PVL,Plasmablasts,GNAI2,CXCR3,0.26398918,0.613,0.05210214,0.028554192870402673,-0.0677254789499987,0.017213417,0.70614517,1.0,1.0
PVL,Plasmablasts,CXCL12,ITGA4,0.2750093,0.0,0.049783397,0.046229880718790715,0.0012975009939036053,0.013905639,0.70139986,1.0,1.0
